,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,878,0_911_inside_job_inside job,"['911', 'inside', 'job', 'inside job', 'plane', '911 inside', '911 inside job', 'false', 'truth', 'flag']","['Exposing The 9/11 Cover-Up | TMZ Investigates: The Fifth Plane via @YouTube', ""Exposing The 9/11 Cover-Up | TMZ Investigates: The Fifth Plane via @YouTube There was a fifth plane! This isn't a story it's real!"", 'The clearest inside job since 9/11.']","0, 911, inside, job, inside job",878
2,1,506,1_israel_911_false_flag,"['israel', '911', 'false', 'flag', 'false flag', 'iran', 'attack', 'mossad', 'war', 'did']","['Unless this results in exposing Israel because Israel never cared about nukes they have their own Israel wants to compete fall of Iran If Iran doesnt retaliate like they are hoping Israel will carry out false flag events Either USS Liberty 2.0 Or 9/11 2.0 So if Israel isnt taken out here very soon then well know where Trump has stood the entire time What happens next will give us are definitive answers All prayer Hope Israel is being set up to be taken out so our government can be free of Zionist control', 'The general consensus is that Israel will false flag attack the US and blame it on Iran. Iran knows it will lose big if it attacks us. Everybody knows that. An Iranian attack on US soil or bases will ultimately benefit Israel. Not Iran, not US. Similar to 9/11', '- Israel and the CIA did 9/11. - Israel has dragged us into and blackmailed our politicians into funding war... on behalf of Israel. - Israel attacked the USS liberty. - Israel colluded with the CIA and LBJ to kill Kennedy. - Israel has committed numerous other false flag operations which constitute an act of war against the United States. Fuck you, and fuck Israel!']","1, israel, 911, false, flag",506
3,2,141,2_iran_war_flag_false flag,"['iran', 'war', 'flag', 'false flag', 'false', 'war iran', '911', 'attack', 'like', 'just']","['Beware Americans! A great false flag is coming to drag you into war with Iran. Do you fall for this like Iraq and 9/11', 'The only way to get the US into war with Iran is to create another false flag and blame Iran. Watch the space, another 9/11 loading.', 'The perfect trip wire to false flag us into war with Iran. The next 9/11']","2, iran, war, flag, false flag",141
4,3,87,3_bush_bush did_911_bush did 911,"['bush', 'bush did', '911', 'bush did 911', 'did', 'george bush', 'george', 'did 911', '911 bush', 'did 911 bush']","['#Globalist George W. Bush did just as much (if not more) to destroy America than both Barack Obama &amp; Joe Biden. The False Flag 9/11 Attack to get us unto another useless war &amp; push the disastrous ""Patriot Act"" are just 2 examples. He is a wolf in sheep\'s clothing.', '#Globalist George W. Bush did just as much (if not more) to destroy America than both Barack Obama &amp; Joe Biden. The False Flag 9/11 Attack to get us unto another useless war &amp; push the disastrous ""Patriot Act"" are just 2 examples. He is a wolf in sheep\'s clothing.', 'Bush did 9/11 Bush did and beyond']","3, bush, bush did, 911, bush did 911",87
5,4,84,4_1990_hw_george hw_hw bush,"['1990', 'hw', 'george hw', 'hw bush', 'george hw bush', 'george', 'bush', 'robert', 'joseph', 'tim']","['Robert Fahey, Tim Snyder and other 1990 worldwide church of God pastors had 10 years to tell the public what they did to me, George HW Bush and the Soviet Union in 1990 before the 2000 election results which caused 9-11.', 'Robert Fahey, Tim Snyder, and other 1990 worldwide church of God pastors had 10 years to ""confess"" to the public what they did to me, George HW Bush, the Soviet Union, CNN, National Public Radio and other people in 1990 before the 2000 election results which caused 9-11.', 'Robert Fahey, Tim Snyder. Hunsberger and other 1990 former worldwide church of God pastors had 10 years to ""confess"" to what they did to me, George HW Bush, the Soviet Union, CNN, NPR, and other people in 1990 before the 2000 election results which caused 9-11.']","4, 1990, hw, george hw, hw bush",84
6,5,68,5_dancing_israelis_dancing israelis_911,"['dancing', 'israelis', 'dancing israelis', '911', 'document', 'israel', 'attacks', '911 dancing', 'video', 'attack']","['The five dancing Israelis arrested on 9/11 later returned to Israel and admitted on a talk show they were there to document the attacks. How do we just ignore this?', 'The five dancing Israelis arrested on 9/11 later returned to Israel and admitted on a talk show they were there to document the attacks. How do we just ignore this?', 'The five dancing Israelis arrested on 9/11 later returned to Israel and admitted on a talk show they were there to document the attacks.']","5, dancing, israelis, dancing israelis, 911",68
7,6,57,6_july_2025_4th_attack,"['july', '2025', '4th', 'attack', 'july 4th', '911', 'revelation', 'gematria', 'event', 'trump']","[""SO! JULY 4TH 2025 NOW LOOK AT THIS STRAIGHT OUT OF RICHIES VIDEO! take 2025 = 9 take July 4..7 4 = 11 911 JULY 4TH THE BIO ATTACK DAY! now I dunno if they are actually going to run any false flags...BUT CHINA COULD ACTIVATE ON JULY 5TH I just don't think if that happens it would"", 'In the Book of Revelation, the king of destruction and doom, ""Abaddon Apollyon,"" appears in Revelation 9:11. 9:11. 911. The Twin Towers 911 terror attack. 119 wee-woo wee-woo 911 wee-woo wee-woo. Due to the 911 attack, the Afghanistan War and the Iraq War broke out. The powder keg of the Middle East began to explode. ""Donald John Trump"" in English Gematria numerology equals donald john trump = 1110 The number 1110 appears. The English word ""bottomless pit"" bottomless pit in English Gematria equals 1110 Again, the number 1110 appears. apollyon = 660 adolf hitler = 660 osama bin laden = 660 son of abaddon = 660 antiochus = 660 elon musk = 660 gimilseong (Kim Il-sung) = 660 ""janggunnim"" (official title of Kim Jong-il) = 660 gimjongun (Kim Jong-un) = 660 president (title of U.S. president) = 660 BIO HAZARD GAME = 660 abaddon in English Gematria equals 246 USA in English Gematria equals 246 The president of the United States is Abaddon\'s Apollyon. That\'s written in Revelation 9:11. Abaddon in Hebrew means ""destruction."" Apollyon in Greek means ""destroyer."" In Greek, the word for ""destruction"" is ""apolomi."" There is a theory that the Greek god Apollo\'s name originates from ""apolomi."" The United States launched Apollo 11 and succeeded in landing on the moon. Abaddon and USA both equal 246 in English Gematria numerology. The verse in Revelation that mentions the war of Armageddon is Chapter 16, verse 16. Trump came into office in 2016. So chapter 16, verse 16. The number 16 is repeated twice? But Donald John Trump and ""bottomless pit"" both share the same English Gematria value of 1110. In Revelation chapters 11 and 17, the Antichrist is prophesied to rise from the bottomless pit... from a hole without a bottom. The name of the Antichrist is Abaddon Apollyon. From Donald John Trump, the U.S. president, rises Elon Musk, who secretly controls things from behind? Nocould it be Elon Musks son X who is the Antichrist? X even the name is bizarre. X. The U.S. wipes Iran off the map, Ukraine keeps tormenting Russia, the U.S. beats down China with tariffs, and if the right wing takes over America, the Illuminati gets furious... and the Antichrist pets a cat and smirks while issuing commands from a smartphone... ""Immediately release the upgraded version of the coronavirus.""', ""This is just a plan to set up the attack coming on July 4th, by our very own criminal government!! Watch what happens on July 4th of this year!! 2025 = 2+0+2+5 = 9 July 4 = 7/4 = 7+4 =11 Trump = 45 = 4+5 = 9 Trump = 47 = 4+7 = 11 The numbers don't lie, with gematria""]","6, july, 2025, 4th, attack",57
8,7,35,7_laura_loomer_laura loomer_says,"['laura', 'loomer', 'laura loomer', 'says', 'attack', '911', 'days ago', 'lauraloomer', 'does', 'mother']","['When laura loomer predicted another 9/11 fews days ago does she was signaling an attack on iran, this post is fuming concerns that if she already knew about the plan.', 'When laura loomer predicted another 9/11 fews days ago does she was signaling an attack on iran, this post is fuming concerns that if she already knew about the plan.', 'Laura Loomer on @timcast says according to @RealTomHoman "" Trump has been primarily focused on the gotaways which may be sleeper cells with the intent of being activated in another 9/11 reminiscent attack to kill Americans"" @LauraLoomer states "" I AM AMERICA FIRST & AIPAC CAMPAIGNED AGAINST ME & YOU CAN BE CRITICAL OF ISRAEL WITHOUT BEING AN ANTI-SEMITE & SAYS A LOT OF THOSE WITH LARGE FOLLOWINGS ARE JEW HATERS & ITS AN EXCUSE"" Laura says ""Letting other nations finish their global affairs is America First"" Regarding if Qatar is funding Tucker Carlson. Laura asks "" Why don\'t they show us their statements regarding who paid for their hotel & travel & they listed Tucker Carlson himself as the point of contact"" Laura believes Qatar should not be able to write checks, give planes, throw their money around WHILE THEY ARE LITERALLY HOUSING TERRORISTS & PROVIDES THEM WITH A SAFE HAVEN. She also notes they are large funders of Hezbollah & The Muslim Brotherhood. Tim & Laura discuss of funding is going towards personalities & influencers to foment anti-Israeli sentiment. She says 29 Billion dollars have been spent between China & Qatar & have made its way to America to purchase influence...even at universities. Loomer discussed Taqiyya which she says ""Permits Muslims to lie to Non-Muslims to FURTHER THEIR AGENDA. In other words..Shes saying don\'t be bedazzled by the camels.']","7, laura, loomer, laura loomer, says",35
9,8,34,8_silverstein_larry silverstein_trade center_center,"['silverstein', 'larry silverstein', 'trade center', 'center', 'attacks', 'trade', 'larry', 'billion', 'world trade center', 'world trade']","['Several events immediately preceding the 9/11 attacks suggests many people other than Islamic extremists anticipated the attack. These include a surge in financial transactions on computers in the World Trade Center on the morning of 9/11.', 'Several events immediately preceding the 9/11 attacks suggests many people other than Islamic extremists anticipated the attack. These include a surge in financial transactions on computers in the World Trade Center on the morning of 9/11.', 'Well, with dancing Jews celebrating the collapse of both towers and Larry Silverstein, a Jewish-American real estate developer, who signed a 99-year-lease on the World Trade Center, including the Twin Towers, just six weeks before the 9/11 attacks. The lease agreement was finalised in July 2001, with attacks occurring on September 11th of that year. Silversteins company, Silverstein Properties, acquired the right to manage and operate the Twin Towers, as well as Four and Five World Trade Center, and a large amount of retail space. The agreement also included the right and obligation to rebuild the structures if they were destroyed. Larry Silverstein, fortuitously took out terrorism insurance just months before the 9/11 attacks. A similar situation to what happened to the Israel Stock Market shortly before the Hamas attack on October 7th where there was significant short-selling of Israeli Securities on the Tel Aviv Stock Exchange (TASE). The Telegraph Newspaper was told by a researcher for the Tel Aviv Stock Exchange that it was not inconceivable that the profits from the short-selling were above $100m.']","8, silverstein, larry silverstein, trade center, center",34
10,9,33,9_911truth_truth_twintowers_september11,"['911truth', 'truth', 'twintowers', 'september11', 'fact', '911', '11', 'facts', 'beast', 'sorcery']","['#911Truth facts', '#911Truth. Facts', '#911Truth. Too many facts']","9, 911truth, truth, twintowers, september11",33
