Topic_Num,X,fediverse,bluesky,truthsocial,4chan,gettr,gab
Topic 0,"[0, 911, inside, job, inside job], n=878",null,"[0, 911, inside, job, inside job], n=391","[0, 911truth, truth, 911, inside], n=436","[0, 911, operation, liberty, falseflag], n=540","[0, 911, towers, twin, twin towers], n=222","[0, 911, israel, people, did], n=649"
Topic 1,"[1, israel, 911, false, flag], n=506",null,"[1, attacks, 911 attacks, 911, saudi], n=141","[1, israel, israeldid911, amp, 911], n=267","[1, book, cost, politicians, book israel], n=28","[1, crash, 2024, assassination, 2025], n=45","[1, johnson, ron, ron johnson, senator], n=60"
Topic 2,"[2, iran, war, flag, false flag], n=141",null,"[2, johnson, ron johnson, ron, senator], n=28","[2, people, people want, american people, want], n=183","[2, liberty, operation, egyptian, israeli], n=25",null,"[2, israel, palestine, lavon, egypt], n=28"
Topic 3,"[3, bush, bush did, 911, bush did 911], n=87",null,null,"[3, asbestos, shot, blackmail, 911], n=84",null,null,"[3, called, doing, fires, filthy], n=25"
Topic 4,"[4, 1990, hw, george hw, hw bush], n=84",null,null,"[4, worth, worth watching, watching, life], n=56",null,null,null
Topic 5,"[5, dancing, israelis, dancing israelis, 911], n=68",null,null,"[5, comey, emergency, towers, process], n=56",null,null,null
Topic 6,"[6, july, 2025, 4th, attack], n=57",null,null,"[6, johnson, ron, ron johnson, new investigation], n=54",null,null,null
Topic 7,"[7, laura, loomer, laura loomer, says], n=35",null,null,"[7, rockefeller, rothschild, agent, united], n=53",null,null,null
Topic 8,"[8, silverstein, larry silverstein, trade center, center], n=34",null,null,"[8, bush, george, george bush, 911], n=30",null,null,null
Topic 9,"[9, 911truth, truth, twintowers, september11], n=33",null,null,"[9, cia, bush, friends, world], n=30",null,null,null
