Topic_Num,X,fediverse,bluesky,truthsocial,4chan,gettr,gab
Topic 0,"[0, ufo, aliens, area, 51], n=3665","[0, ufo, alien, aliens, ufo unidentifiedflyingobjects], n=1815","[0, ufo, ufos, uap, aliens], n=1630","[0, aliens, people, illegal, trump], n=4939","[0, aliens, alien, tech, ufos], n=1426","[0, alien, trump, people, earth], n=1212",null
Topic 1,"[1, illegal, illegal aliens, aliens, country], n=1245","[1, mj12, ex randomizer, randomizer, ex], n=338","[1, act, enemies, enemies act, alien enemies], n=872","[1, smart dust, dust, fog, smart], n=73","[1, jews, jew, israel, aliens], n=442","[1, ccp, launching, world war, china], n=24",null
Topic 2,"[2, light, love, divine, galactic], n=248",null,"[2, contact, billy, meier, billy meier], n=653","[2, aliens ice, aliens ice agents, criminal aliens ice, radio station tips], n=54","[2, world, antichrist, fake, 2027], n=322","[2, hitlers, accidental, 2020, rain snow], n=23",null
Topic 3,"[3, blue beam, beam, project blue beam, project blue], n=187",null,"[3, jfk, files, ufo, release], n=272","[3, vaccines, amp, covid, nicotine], n=53","[3, aliens, alien, earth, white], n=305","[3, rapture, nukes, lord, jesus], n=23",null
Topic 4,"[4, elon, elonmusk, musk, galactic], n=180",null,"[4, musk, elon, elon musk, alien], n=229","[4, edition, alien aircraft, secret alien aircraft, investigation secret alien], n=51","[4, dna, evolution, humans, species], n=154","[4, radio, criminal aliens, models, vehicle], n=21",null
Topic 5,"[5, alien, hes, fucking, human], n=173",null,"[5, hes, human, alien, reptilian], n=189","[5, takeaways, new episode, episode, fog medium], n=50","[5, disclosure, trump, aliens, government], n=147",null,null
Topic 6,"[6, god, satan, demons, devil], n=145",null,"[6, pyramids, built, pyramid, egypt], n=150","[6, abortion, sheaposs, aliens, amp], n=50","[6, sex, hes, like, actually], n=135",null,null
Topic 7,"[7, sphere, buga, buga sphere, colombia], n=143",null,"[7, area, area 51, 51, base], n=144","[7, drones, showed, plan stage, using drones], n=48","[7, make think, make, think, exist], n=129",null,null
Topic 8,"[8, tech, technology, alien tech, alien technology], n=112",null,"[8, god, gods, anunnaki, ancient], n=138","[8, going, news ufos, oclock, ufos amp uaps], n=35","[8, pyramids, ancient, built, pyramid], n=128",null,null
Topic 9,"[9, briefed, tall, trump briefed, grusch], n=106",null,"[9, shes, trans, trans people, alien], n=120","[9, arresting deporting, biden let, media finally, deporting], n=33","[9, alien, hes, aliens, human], n=128",null,null
