Topic_Num,X,fediverse,bluesky,truthsocial,4chan,gettr,gab
Topic 0,"[0, covid, vaccine, vaccines, covid19], n=18817","[0, covid, vaccine, vaccines, covid19], n=1949","[0, covid, people, vaccines, vaccine], n=11054","[0, china, chinese, ccp, land], n=1583","[0, covid, vaccine, people, just], n=5273","[0, covid, vaccine, covid19, vaccines], n=17830","[0, covid, people, vaccine, trump], n=39514"
Topic 1,"[1, la, il, di, che], n=96","[1, woke, patriot, says, trump], n=125","[1, masks, mask, wear, wearing], n=384","[1, involved, collusion hoax, involved russia, involved russia collusion], n=1414","[1, jews, jewish, jew, covid], n=627","[1, jews, israel, jewish, jew], n=105","[1, born, prime, nonprime, verses], n=779"
Topic 2,"[2, english, golden, vaccine created, like covid19], n=25","[2, jews, lie, russians, jew], n=124","[2, uk, tories, labour, brexit], n=276","[2, hes, heaposs, needs, nursing], n=1243","[2, clot, clot shot, shot, clotshot], n=523","[2, plandemic, plan, plandemic 20, new plandemic], n=95","[2, clotshot, dies, age, notabledeaths], n=134"
Topic 3,null,"[3, usaid, funded, musk, funding], n=115","[3, shes, covid, lady, did], n=176","[3, mrna, mortality, studies, excess], n=1114","[3, ukraine, russia, war, putin], n=232","[3, newsom, california, la, gavin], n=74","[3, cabal, obsidian, digital euro, usdr], n=124"
Topic 4,null,"[4, scamdemic, cdc grooming, grooming, new world], n=66","[4, fauci, anthony, anthony fauci, function], n=172","[4, gop, zero, math, dems], n=1024","[4, people, shit, like, just], n=223","[4, dangerous, uk, government, just], n=74","[4, whats, trump2020, socialist, national security apparatus], n=111"
Topic 5,null,"[5, economy, assets, wealth, market], n=65","[5, musk, elon, trump, trump musk], n=163","[5, fauci, dr fauci, aids, fauci needs], n=965","[5, eggs, chickens, egg, bird], n=201","[5, birx, covid, deborah birx, deborah], n=65","[5, dea, fbi, news, precursors], n=62"
Topic 6,null,"[6, canada, canadian, minister, government], n=56","[6, canada, trudeau, ford, canadians], n=116","[6, flu, came, lab, died], n=952","[6, canada, canadians, trudeau, canadian], n=175","[6, carney, canada, trudeau, canadians], n=60","[6, lesson, ninja, ninja kids, rick], n=53"
Topic 7,null,"[7, ivermectin, cancer, drug, remdesivir], n=52","[7, facebook, zuckerberg, censor, mark zuckerberg], n=104","[7, bird, bird flu, chickens, flu], n=935","[7, women, white, men, people], n=154","[7, prosecuted, fully, willful, fully exposed], n=57","[7, aluminum, rifles, 243, 243 winchester], n=51"
Topic 8,null,"[8, covid, memes, covid1984, covid covid19], n=49","[8, plandemic, real plandemic, real, plandemic 20], n=103","[8, zuckerberg, ad, rockefeller foundation, mark zuckerberg], n=822","[8, god, beast, mark, christ], n=128","[8, davos, party, davos party, virus covid vaccine], n=55","[8, uk, globalist, pakistani, muslims], n=50"
Topic 9,null,"[9, cancer, cancers, aggressive, soonshiong], n=48","[9, ballots, 2020, election, mail], n=98","[9, shot, got, took, vaccine], n=747","[9, 5g, cloud, ngo, able], n=113","[9, pope, church, vatican, catholic], n=50","[9, said, nothingwhen, said nothingwhen, illegals], n=46"
