,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,2535,0_world order_order_new world_new world order,"['world order', 'order', 'new world', 'new world order', 'world', 'new', 'musk', 'trump', 'putin', 'america']","['The new world order is upon us', 'If he learns how to prescribe and compound I am IN for the new world order.', 'Part of the New World Order.']","0, world order, order, new world, new world order",2535
2,1,1095,1_illuminati_whatsapp_great illuminati_member,"['illuminati', 'whatsapp', 'great illuminati', 'member', 'fame', 'join', 'wealth', 'contact', 'usd', 'join great']","['Do you wish to join the great Illuminati and make your dream come true? Gain power, wealth and fame?? Receive 3 million USD monthly once you are a member. For more info, message me Illuminati world contact us on WhatsApp +1(812)4161875', 'Do you wish to join the great Illuminati and make your dream come true? Gain power, wealth and fame?? Receive 3 million USD monthly once you are a member. For more info, message me Illuminati world contact us on WhatsApp +1(812)4161875', 'Do you wish to join the great Illuminati and make your dream come true? Gain power, wealth and fame?? Receive 3 million USD monthly once you are a member. For more info, message me Illuminati world contact us on WhatsApp +1(812)4161875']","1, illuminati, whatsapp, great illuminati, member",1095
3,2,897,2_population_population control_control_people,"['population', 'population control', 'control', 'people', 'depopulation', 'vaccines', 'eugenics', 'covid', 'agenda', 'food']","['They see it as population control.', 'DeSantis is all about population control!', 'Unconventional population control']","2, population, population control, control, people",897
4,3,777,3_controlled opposition_controlled_opposition_democrats,"['controlled opposition', 'controlled', 'opposition', 'democrats', 'theyre', 'dems', 'party', 'theyre controlled', 'theyre controlled opposition', 'biden']","['They are all controlled opposition.', 'Controlled opposition baybee!!!', ""They'd do this if they weren't controlled opposition""]","3, controlled opposition, controlled, opposition, democrats",777
5,4,602,4_freemason scheme_democracy freemason_democracy freemason scheme_scheme,"['freemason scheme', 'democracy freemason', 'democracy freemason scheme', 'scheme', 'church state', 'unite church', 'unite church state', 'democracy', 'unite', 'freemason']","['Democracy is a freemason scheme. The constitution was written by white supremacist slave owners. Unite church with state for Christians', 'Democracy is a freemason scheme. The constitution was written by white supremacist slave owners and satanic freemasons. Unite church with state for Christians', 'Democracy is a freemason scheme. The constitution was written by white supremacist slave owners and satanic freemasons. Unite church with state for Christians']","4, freemason scheme, democracy freemason, democracy freemason scheme, scheme",602
6,5,258,5_nwo_fuse_long_secret world government,"['nwo', 'fuse', 'long', 'secret world government', 'secret world', 'debt', 'people', 'does matter', 'decades', 'money']","['Its time NWO.', 'We In the NWO', 'All part of the NWO.']","5, nwo, fuse, long, secret world government",258
7,6,240,6_freemasons_freemasonry_demon_strange oaths,"['freemasons', 'freemasonry', 'demon', 'strange oaths', 'strange', 'matthew 534', '534', 'matthew', 'yr', 'freemason']","['Freemasons are deeply satanic. They take strange oaths in direct violation of scripture. Matthew 5:34. The demon gets into them through the oath. They are the enemy of Catholics', 'No. Freemasons take strange oaths in direct violation of scripture. Matthew 5:34. The demon gets into them through the oath. They are demon possessed satanists', 'Freemasons take strange oaths in direct violation of scripture. Matthew 5:34. They are demon possessed satanists. The demon gets into them through the oath']","6, freemasons, freemasonry, demon, strange oaths",240
8,7,192,7_psyop_government psyop_cia_cia psyop,"['psyop', 'government psyop', 'cia', 'cia psyop', 'government', 'people', 'like', 'fucking', 'massive psyop', 'elaborate']","['They r Government psyop', ""They're in on the psyop"", 'this is a psyop it has to be']","7, psyop, government psyop, cia, cia psyop",192
9,8,188,8_israel_gaza_genocide_zionist,"['israel', 'gaza', 'genocide', 'zionist', 'jews', 'netanyahu', 'psyop', 'jewish', 'greater israel', 'israeli']","['Army navy Air Force Marines: Puppets on strings of the illuminati: Protecting jews on wall street lobbying senators: Watch Rome and Israel fall: The love of the money is the root of all evil...... Blood money.', 'Render: NOT unto Caesar. And watch Cesar fall. Not the whole damn empire. Assholes, given free will to write books. What?: Are we gonna do this again: puppets on strings of the illuminati: protecting Jews on Wall Street lobbying our senators watch Rome and Israel fall again: Gaza strips of:', 'Puppets on strings of the illuminati: Protecting jews on wall street lobbying Your senators: Watch rome and israel fall again: America the present day rome and israel repeating history as fools: GAZA STRIPS OF BIOOD GENOCIDE: REAPING WHAT THEY SOW TENFOLD..........WHAT GOES AROUND COMES AROUND: 10 X']","8, israel, gaza, genocide, zionist",188
10,9,176,9_hes_world_world order_new world,"['hes', 'world', 'world order', 'new world', 'order', 'new', 'new world order', 'wants', 'think', 'just']","['Hes creating a new world order based on who has money and nuclear weapons. Hes getting us into war for money.', 'I hope your right I really do,hes already said that he wants to terminate the constitution,hes after a total new world order,thats why hes dismantle d so much', 'Hes not my brotha hes helping us exceed our expectations for the new world order']","9, hes, world, world order, new world",176
