Topic_Num,X,fediverse,bluesky,truthsocial,4chan,gettr,gab
Topic 0,"[0, illuminati, globalist, illuminatiam, join], n=1477","[0, world, new, order, world order], n=1071","[0, world order, order, new world, new world order], n=2535","[0, paper, ballots, people need, hand], n=5014","[0, jews, jewish, freemasons, psyop], n=4973","[0, world, trump, people, just], n=5737","[0, zionist, zionist jews, jews, usa], n=2626"
Topic 1,"[1, freemasonry, freemasons, freemason, israel], n=1123","[1, vaccines, mrna, covid, covid19], n=171","[1, illuminati, whatsapp, great illuminati, member], n=1095","[1, world order, world, world government, order], n=2438","[1, ukraine, russia, nato, russian], n=2911","[1, nwo, sb, divided, trump], n=338","[1, honoring, noahide, kushner, deceive], n=1764"
Topic 2,"[2, depopulation, depopulation agenda, population, population control], n=1060","[2, human blood, blood sacrifice, real illuminati, helped], n=137","[2, population, population control, control, people], n=897","[2, population, depopulation, population control, gates], n=2124","[2, china, japan, chinese, ccp], n=574","[2, communist, fires, smart, cities], n=313","[2, nwo, nwo wants, trump nwo, hes], n=1107"
Topic 3,"[3, obama, deep state, deep, biden], n=721","[3, illuminati, freemasonry, freemasons, organization], n=130","[3, controlled opposition, controlled, opposition, democrats], n=777","[3, putin, ukraine, russia, zelensky], n=1601","[3, covid, vaccine, vaccines, virus], n=535","[3, yhwh, swamp, america, swamp combat], n=311","[3, climate, climate change, science, change], n=1064"
Topic 4,"[4, canada, carney, canadians, canadian], n=695","[4, population, depopulation, control, population control], n=130","[4, freemason scheme, democracy freemason, democracy freemason scheme, scheme], n=602","[4, amen thank wwg1wga, amen thank, wwg1wga amen thank, wwg1wga amen], n=1346","[4, ai, total surveillance, killing jews politicians, jews politicians], n=514","[4, canada, carney, trudeau, greenland], n=240","[4, vaccines, gates, vaccine, fauci], n=1010"
Topic 5,"[5, wwg1wga, ncswic, wwg1wga wwg1wga, ncswic wwg1wga], n=544","[5, psyop, jfk, cia, assassination], n=74","[5, nwo, fuse, long, secret world government], n=258","[5, jews, jewish, israel, jew], n=1340","[5, illuminati, im, know, like], n=380","[5, ukraine, zelensky, war, russia], n=192","[5, pope, catholic, vatican, catholic church], n=784"
Topic 6,"[6, nwo, antichrist, nwo nwo, welcome nwo], n=540","[6, musk, elon, elon musk, technology], n=56","[6, freemasons, freemasonry, demon, strange oaths], n=240","[6, nwo, nwo nwo, rt, nwo rt], n=1222","[6, canada, carney, canadian, canadians], n=307","[6, elon, musk, elon musk, musks], n=174","[6, hollywood illuminati, hollywood, illuminati, deep church], n=724"
Topic 7,"[7, psyop, psyop psyop, psyop just, psyops], n=485","[7, reset, great reset, great, going], n=46","[7, psyop, government psyop, cia, cia psyop], n=192","[7, freemasons, freemason, freemasonry, illuminati], n=970","[7, elon, musk, trump, elon musk], n=304","[7, shes, world, eu, world order], n=92","[7, trump2020, socialist, stopthesteal, trump trump2020], n=706"
Topic 8,"[8, reset, great reset, great, reset great], n=427","[8, canada, carney, mark carney, eu], n=43","[8, israel, gaza, genocide, zionist], n=188","[8, smart, fires, la, cities], n=903","[8, white men, public enemy number, public enemy, enemy number], n=289","[8, women, men, trans, children], n=76","[8, north, screen, china, japanese], n=543"
Topic 9,"[9, elon, musk, trump, elon musk], n=398","[9, globohomo, science, truth, reptilians], n=35","[9, hes, world, world order, new world], n=176","[9, canada, carney, north, north american], n=687","[9, population, population control, depopulation, depopulation agenda], n=288","[9, ccp, china, chinese, guo], n=71","[9, white, whites, racism, kalergi], n=477"
